16:07:48 | INFO     | workshop:setup_logger:57 | ============================================================
16:07:48 | INFO     | workshop:setup_logger:58 | Workshop session started at 2025-12-14T16:07:48.699588
16:07:48 | INFO     | workshop:setup_logger:59 | Log file: /home/bron/FlyingTiger/Workshop_Assistant_Dev/data/logs/workshop_20251214_160748.log
16:07:48 | INFO     | workshop:setup_logger:60 | ============================================================
16:07:49 | DEBUG    | workshop.memory:_init_sqlite:128 | SQLite initialized
16:07:50 | INFO     | workshop.memory:_init_chroma:149 | ChromaDB initialized with 2028 documents
16:07:50 | DEBUG    | workshop.memory:_load_index_cache:162 | Loaded index cache: 0 files
16:07:50 | DEBUG    | workshop.tools:register:158 | Registered tool: read_file
16:07:50 | DEBUG    | workshop.tools:register:158 | Registered tool: write_file
16:07:50 | DEBUG    | workshop.tools:register:158 | Registered tool: list_directory
16:07:50 | DEBUG    | workshop.tools:register:158 | Registered tool: search_files
16:07:50 | DEBUG    | workshop.tools:register:158 | Registered tool: run_shell
16:07:50 | DEBUG    | workshop.tools:register:158 | Registered tool: remember
16:07:50 | DEBUG    | workshop.tools:register:158 | Registered tool: recall
16:07:50 | DEBUG    | workshop.tools:register:158 | Registered tool: take_note
16:07:50 | DEBUG    | workshop.tools:register:158 | Registered tool: list_notes
16:07:50 | DEBUG    | workshop.tools:register:158 | Registered tool: get_current_time
16:07:50 | DEBUG    | workshop.tools:register:158 | Registered tool: calculate
16:07:50 | DEBUG    | workshop.tools:register:158 | Registered tool: web_search
16:07:50 | INFO     | workshop.tools:register_default_tools:652 | Registered 12 tools
16:07:50 | INFO     | workshop.context:__init__:118 | Context awareness initialized for Linux
16:07:50 | DEBUG    | workshop.tools:register:158 | Registered tool: get_dev_context
16:07:50 | DEBUG    | workshop.tools:register:158 | Registered tool: list_connected_devices
16:07:50 | INFO     | workshop.tools:register_default_tools:705 | Registered context awareness tools
16:07:50 | DEBUG    | workshop.tools:register:158 | Registered tool: show_file
16:07:50 | DEBUG    | workshop.tools:register:158 | Registered tool: show_directory
16:07:50 | DEBUG    | workshop.tools:register:158 | Registered tool: create_note
16:07:50 | DEBUG    | workshop.tools:register:158 | Registered tool: show_chart
16:07:50 | DEBUG    | workshop.tools:register:158 | Registered tool: show_terminal
16:07:50 | DEBUG    | workshop.tools:register:158 | Registered tool: show_markdown
16:07:50 | DEBUG    | workshop.tools:register:158 | Registered tool: close_construct
16:07:50 | DEBUG    | workshop.tools:register:158 | Registered tool: close_all_constructs
16:07:50 | DEBUG    | workshop.tools:register:158 | Registered tool: list_constructs
16:07:50 | DEBUG    | workshop.tools:register:158 | Registered tool: move_construct
16:07:50 | INFO     | workshop.construct_tools:register_construct_tools:268 | Registered 9 construct tools
16:07:50 | DEBUG    | workshop.tools:register:158 | Registered tool: work_on
16:07:50 | DEBUG    | workshop.tools:register:158 | Registered tool: project_note
16:07:50 | DEBUG    | workshop.tools:register:158 | Registered tool: what_project
16:07:50 | DEBUG    | workshop.tools:register:158 | Registered tool: list_projects
16:07:50 | DEBUG    | workshop.tools:register:158 | Registered tool: session_summary
16:07:50 | DEBUG    | workshop.tools:register:158 | Registered tool: last_session
16:07:50 | DEBUG    | workshop.tools:register:158 | Registered tool: arduino_compile
16:07:50 | DEBUG    | workshop.tools:register:158 | Registered tool: arduino_upload
16:07:50 | DEBUG    | workshop.tools:register:158 | Registered tool: arduino_monitor
16:07:50 | DEBUG    | workshop.tools:register:158 | Registered tool: arduino_boards
16:07:50 | INFO     | workshop.project_tools:register_project_tools:470 | Registered project tools (with Arduino CLI)
16:07:50 | INFO     | workshop.agent:__init__:174 | Agent initialized with model: qwen3:8b
16:07:50 | INFO     | workshop.agent:__init__:175 | Ollama URL: http://localhost:11434
16:07:50 | DEBUG    | workshop.agent:__init__:176 | Available tools: ['read_file', 'write_file', 'list_directory', 'search_files', 'run_shell', 'remember', 'recall', 'take_note', 'list_notes', 'get_current_time', 'calculate', 'web_search', 'get_dev_context', 'list_connected_devices', 'show_file', 'show_directory', 'create_note', 'show_chart', 'show_terminal', 'show_markdown', 'close_construct', 'close_all_constructs', 'list_constructs', 'move_construct', 'work_on', 'project_note', 'what_project', 'list_projects', 'session_summary', 'last_session', 'arduino_compile', 'arduino_upload', 'arduino_monitor', 'arduino_boards']
16:07:50 | INFO     | workshop.agent:__init__:178 | Construct manager attached
16:07:50 | INFO     | workshop.agent:__init__:180 | Context awareness enabled
16:07:50 | INFO     | workshop.whisper_cpp:__init__:67 | WhisperCpp initialized: model=ggml-base.en.bin, threads=4
16:07:50 | INFO     | workshop.ollama_stream:__init__:56 | OllamaStreamingClient: qwen3:8b @ http://localhost:11434
16:07:50 | INFO     | workshop.piper_stream:__init__:61 | PiperStreamingTTS: en_US-lessac-medium.onnx
16:07:50 | INFO     | workshop.vad:__init__:62 | Loading silero-vad model...
16:07:50 | INFO     | workshop.vad:__init__:71 | ✅ silero-vad loaded
16:07:50 | INFO     | workshop.vad:__init__:89 | VAD ready: threshold=0.5, min_speech=250ms, min_silence=300ms
16:07:50 | INFO     | workshop.vad:__init__:296 | SpeechEndDetector initialized (timeout=30.0s)
16:07:50 | INFO     | workshop.vad:__init__:445 | InterruptionDetector initialized (threshold=0.60, confirmation=3)
16:07:50 | INFO     | workshop.audio_pipeline:__init__:61 | Initializing AudioFramePipeline (rate=16000, frame=512, timeout=30.0s)
16:07:50 | INFO     | workshop.audio:__init__:81 | AudioStream initialized: HW=44100Hz, Output=44100Hz, 2ch, 1470 samples/frame, device=None
16:07:50 | INFO     | workshop.vad:__init__:62 | Loading silero-vad model...
16:07:50 | INFO     | workshop.vad:__init__:71 | ✅ silero-vad loaded
16:07:50 | INFO     | workshop.vad:__init__:89 | VAD ready: threshold=0.5, min_speech=250ms, min_silence=300ms
16:07:50 | INFO     | workshop.vad:__init__:296 | SpeechEndDetector initialized (timeout=30.0s)
16:07:50 | INFO     | workshop.vad:__init__:445 | InterruptionDetector initialized (threshold=0.60, confirmation=3)
16:07:50 | INFO     | workshop.audio_pipeline:__init__:92 | AudioFramePipeline initialized successfully
16:07:50 | DEBUG    | workshop.vad:on_interruption:527 | Interruption callback registered
16:07:50 | INFO     | workshop.constructs:start_server:81 | Construct server started on ws://localhost:8765
16:07:50 | INFO     | workshop.wake_pipeline:__init__:41 | Initializing WakeWordPipeline (wake_word='alexa', timeout=30.0s)
